GEO_ID,NAME,P9_001N,P9_002N,P9_003N,P9_004N,P9_005N,P9_006N,P9_007N,P9_008N,P9_009N,P9_010N,P9_011N
860Z200US01098,01098,1147,27,1120,1076,1067,0,0,6,0,3,44
860Z200US01103,01103,2545,1376,1169,1110,603,434,7,48,0,18,59
860Z200US01104,01104,23598,14159,9439,8811,5815,2594,29,264,7,102,628
860Z200US01105,01105,12051,7821,4230,3954,1539,2193,27,111,1,83,276
860Z200US01106,01106,16165,684,15481,14997,13394,246,4,1255,6,92,484
860Z200US01107,01107,11252,8846,2406,2235,1232,861,8,84,4,46,171
860Z200US01108,01108,27671,12850,14821,13992,7015,4785,52,1971,7,162,829
860Z200US01109,01109,30968,13418,17550,16445,5958,9771,62,421,38,195,1105
860Z200US01118,01118,14296,3599,10697,10189,7346,1969,17,779,1,77,508
860Z200US01119,01119,14393,4478,9915,9382,6083,2908,18,293,9,71,533
860Z200US01128,01128,2647,476,2171,2057,1701,266,6,78,1,5,114
860Z200US01129,01129,7024,1685,5339,5069,3584,1189,12,238,5,41,270
860Z200US01144,01144,0,0,0,0,0,0,0,0,0,0,0
860Z200US01151,01151,9150,4074,5076,4752,2997,1556,21,120,2,56,324
860Z200US01201,01201,45494,3574,41920,39500,35619,2858,68,640,6,309,2420
860Z200US01220,01220,8166,226,7940,7521,7353,103,7,41,0,17,419
860Z200US01222,01222,835,54,781,736,722,5,3,4,0,2,45
860Z200US01223,01223,2430,78,2352,2267,2242,10,1,9,0,5,85
860Z200US01224,01224,217,7,210,196,180,9,0,5,0,2,14
860Z200US01225,01225,3258,79,3179,3055,2995,22,2,31,5,0,124
860Z200US01226,01226,6324,160,6164,5941,5807,56,2,60,0,16,223
860Z200US01229,01229,189,16,173,172,167,1,0,0,0,4,1
860Z200US01230,01230,8907,675,8232,7907,7463,164,13,222,2,43,325
860Z200US01235,01235,2733,39,2694,2609,2577,10,2,10,0,10,85
860Z200US01236,01236,1513,86,1427,1363,1331,16,0,12,0,4,64
860Z200US01237,01237,2365,65,2300,2208,2145,28,5,24,0,6,92
860Z200US01238,01238,5722,292,5430,5258,5033,60,6,134,2,23,172
860Z200US01240,01240,4692,206,4486,4370,4204,49,4,102,2,9,116
860Z200US01242,01242,449,17,432,420,412,1,0,0,0,7,12
860Z200US01243,01243,175,4,171,167,167,0,0,0,0,0,4
860Z200US01244,01244,287,5,282,271,267,2,2,0,0,0,11
860Z200US01245,01245,933,27,906,870,839,14,4,12,0,1,36
860Z200US01247,01247,15147,615,14532,13707,13171,323,22,110,1,80,825
860Z200US01253,01253,808,22,786,768,752,3,6,3,0,4,18
860Z200US01254,01254,946,28,918,889,860,4,0,19,0,6,29
860Z200US01255,01255,959,18,941,903,890,6,2,2,0,3,38
860Z200US01256,01256,645,8,637,610,592,14,0,1,0,3,27
860Z200US01257,01257,2140,106,2034,1950,1918,20,2,6,0,4,84
860Z200US01258,01258,160,1,159,152,145,0,0,6,0,1,7
860Z200US01259,01259,643,15,628,615,605,2,2,4,0,2,13
860Z200US01260,01260,233,14,219,211,205,0,0,5,0,1,8
860Z200US01262,01262,1758,71,1687,1656,1613,20,0,14,0,9,31
860Z200US01264,01264,219,10,209,201,196,1,1,3,0,0,8
860Z200US01266,01266,1208,50,1158,1112,1089,9,1,7,0,6,46
860Z200US01267,01267,7876,470,7406,7039,6224,249,10,505,0,51,367
860Z200US01270,01270,755,17,738,707,699,4,0,1,0,3,31
860Z200US01301,01301,18042,1484,16558,15757,14918,398,33,287,4,117,801
860Z200US01330,01330,1500,30,1470,1418,1397,4,3,3,0,11,52
860Z200US01331,01331,13656,725,12931,12340,12045,121,19,93,4,58,591
860Z200US01337,01337,2562,34,2528,2445,2417,9,0,13,0,6,83
860Z200US01338,01338,127,4,123,115,110,0,0,1,0,4,8
860Z200US01339,01339,1487,38,1449,1348,1321,7,4,12,0,4,101
